building_id,building_type,vintage,floor_area_m2,num_stories,hvac_type,heating_setpoint_c,cooling_setpoint_c,envelope_level,occupancy_level,has_pv,pv_kw,has_battery,battery_kwh
home_036,multifamily_unit,1980_2000,242.5,1,gas_furnace_ac,20.8,26.4,high,low,False,0.0,False,0.0
home_037,multifamily_unit,post_2000,217.6,1,gas_furnace_ac,20.6,26.0,low,high,False,0.0,False,0.0
home_038,single_family_detached,pre_1980,154.7,1,gas_furnace_ac,20.5,23.6,high,medium,False,0.0,False,0.0
home_039,multifamily_unit,pre_1980,171.1,1,heat_pump,21.6,24.5,medium,high,False,0.0,False,0.0
home_040,townhouse,1980_2000,231.5,3,gas_furnace_ac,19.9,23.6,medium,low,False,0.0,False,0.0
home_041,townhouse,1980_2000,216.5,3,gas_furnace_ac,20.2,23.2,low,low,False,0.0,False,0.0
home_042,townhouse,post_2000,117.7,3,gas_furnace_ac,19.3,26.6,high,low,False,0.0,False,0.0
home_043,multifamily_unit,post_2000,78.0,1,heat_pump,20.6,26.9,high,high,False,0.0,False,0.0
home_044,single_family_detached,pre_1980,85.4,2,heat_pump,20.6,24.2,high,high,False,0.0,False,0.0
home_045,multifamily_unit,pre_1980,231.8,1,gas_furnace_ac,19.9,23.5,medium,low,False,0.0,False,0.0
home_046,multifamily_unit,post_2000,186.6,1,heat_pump,21.4,26.6,high,low,False,0.0,False,0.0
home_047,multifamily_unit,pre_1980,126.6,1,electric_resistance,19.1,23.5,high,high,False,0.0,False,0.0
home_048,multifamily_unit,1980_2000,81.4,1,electric_resistance,20.6,25.4,low,low,False,0.0,False,0.0
home_049,single_family_detached,1980_2000,89.3,1,heat_pump,19.8,24.2,low,medium,False,0.0,False,0.0
home_050,townhouse,pre_1980,170.0,2,heat_pump,21.1,24.8,high,medium,False,0.0,False,0.0
